46.2,6.1,880,2530,770,230,1370,1080,150,710,1080,1920,680,2172,1294,840,1570,1580,1340,570,1580,0,267,677,2417,1522,534,342,1448,441,858,1274,522,578,304,870,1137,267,205,1861,362,1237,1168,355,589,727,565,851,1094,1249,1622,460,628,963,609,175
44.4,8.9,1280,2350,900,520,1180,1130,490,1060,1030,1070,1070,1770,1150,1270,1920,2010,1620,860,1860,430,0,833,2573,1696,777,317,1342,603,1032,1355,410,851,528,951,1218,249,87,1821,435,1411,913,584,640,926,317,882,976,1423,1684,342,603,1025,491,255
53.5,10,440,2770,1790,820,1600,289,910,1480,950,2170,600,2060,1211,820,1540,1630,280,490,520,1090,1340,0,1740,864,323,572,1591,267,199,1684,671,615,391,1348,1709,901,746,1324,486,578,1640,572,391,93,1044,193,1237,590,1187,808,590,528,752,579
70.6,23.7,3240,5320,4590,3620,4170,2870,3710,4280,3540,4970,3400,4630,3770,3610,4340,4430,2650,3290,2370,3890,4140,2800,0,913,2063,2312,3200,2007,1541,3424,2268,2355,2131,3088,3511,2641,2486,1678,1622,1305,3380,2312,2001,1659,2784,1771,2852,1150,913,932,2194,2088,2355,2318
60.1,24.9,1830,3910,3180,2210,2760,1460,2300,2870,1680,3430,1990,3220,2360,2200,2930,3020,1360,1880,1560,2450,2730,1390,1470,0,1187,1435,2324,1131,665,2548,1392,1479,1255,2212,2635,1765,1609,764,1168,609,2504,1435,1125,783,1908,752,1976,"#DIV/0!","#DIV/0!",1678,1317,1212,1473,1381
52,4.1,80,2990,1590,730,1850,740,820,1040,1270,2080,180,2380,1550,390,880,980,800,490,1040,860,1250,520,3320,1910,0,628,1759,180,522,1411,826,205,249,1075,1435,777,690,1603,373,901,1653,298,615,410,1094,516,1380,913,1467,764,746,808,907,522
47.3,11.4,980,2090,1300,380,910,730,400,1260,530,1270,870,1500,730,1040,1790,1880,1200,520,1440,550,510,920,3720,2310,1010,0,1174,447,771,1591,242,771,398,1187,1467,559,230,1510,99,1150,1069,534,329,665,472,634,808,1162,1373,298,286,715,323,180
41,29,2780,1130,3050,2360,980,2290,2320,3020,1570,1100,2650,730,1320,2840,3560,3650,2840,2320,3080,2330,2160,2560,5150,3740,2830,1890,0,1560,1665,2697,932,1870,1504,2293,2560,1591,1255,1622,1125,2038,1957,1709,1174,1684,1404,1603,367,2051,1864,994,976,1206,845,1411
50.9,7,260,2740,1350,450,1540,570,580,1050,980,1890,220,2070,1240,410,1080,1250,510,200,950,710,970,430,3230,1820,290,720,2510,0,466,1467,739,379,124,1081,1442,621,547,1498,360,845,1510,304,435,360,913,460,1199,858,1361,677,565,702,826,348
55.7,12.6,760,2880,2110,1140,1680,390,1230,1800,1060,2490,920,2134,1833,1130,1860,1950,290,810,490,1380,1660,320,2480,1070,840,1240,2680,750,0,1908,721,814,590,1547,1970,1100,945,1398,680,379,1839,771,460,118,1243,99,1286,391,478,1019,646,603,808,770
38.7,-9.1,2300,4530,1280,1140,3360,3000,2200,1230,3070,3250,2090,4147,3241,2360,2870,2960,2990,2470,3230,2050,2180,2710,5510,4100,2270,2560,4340,2360,3070,0,1746,1442,1324,404,391,1106,1429,2989,1665,2262,2268,1114,1808,1777,1672,1877,2330,2274,2852,1684,1864,2194,1833,1384
46,14.5,1280,1690,1550,870,520,1310,790,1520,420,1200,1350,1110,460,1560,2270,2370,1360,830,1600,840,660,1080,3650,2240,1330,390,1500,1190,1160,2810,0,938,565,1342,1616,659,323,1498,273,1106,1025,833,429,764,472,671,559,1119,1361,62,217,702,87,503
51.5,-0.1,550,3200,1560,890,2030,1170,970,980,1580,2170,390,2590,1771,120,550,640,1270,800,1510,930,1370,990,3790,2380,330,1240,3010,610,1310,2320,1510,0,373,1038,1398,752,758,1870,702,1193,1721,280,814,708,1125,808,1504,1206,1734,1007,938,1075,1025,642
49.6,6.2,390,2600,1160,330,1430,750,420,880,1000,1680,220,2030,1200,420,1150,1240,910,230,1150,490,850,630,3430,2020,400,640,2420,200,950,2130,910,600,0,988,1348,510,441,1631,367,969,1404,211,454,485,808,584,1131,982,1498,640,578,839,652,275
40.4,-3.7,1760,3880,630,1640,2710,2530,1550,690,2450,2600,1550,3280,2620,1540,2220,2310,2450,1820,2690,1400,1530,2170,4970,3560,1730,1910,3690,1740,2490,650,2160,1670,1590,0,360,702,1038,2620,1261,1926,1864,777,1435,1442,1268,1541,1908,1939,2479,1280,1479,1821,1429,1054
36.7,-4.4,2340,4310,1060,2070,3140,2900,2020,1270,2890,3030,2130,3710,3080,2120,2800,2890,3030,2400,3270,1830,1960,2750,5650,4240,2310,2360,4120,2320,3170,630,2600,2250,2170,580,0,969,1305,2977,1529,2349,2131,1137,1709,1802,1535,1901,2194,2361,2840,1554,1752,2181,1703,1317
43.3,5.4,1280,2750,500,670,1580,1520,580,630,1440,1470,1070,2150,1530,1060,1760,1850,1730,1000,1970,430,400,1450,4250,2840,1250,900,2560,1000,1770,1780,1060,1210,820,1130,1560,0,336,2026,690,1479,1162,478,845,994,565,1094,1224,1491,1889,597,851,1230,746,419
